ID|GENDER|NAME|EMS|DOB|REG|SIRE|DAM
84|F|(N)Arctic Coon's Faithful Moon|MCO f 22|06-11-1999|FD LO 107210|128435|139246
85|M|(N)Arctic Coon's Frank Zappa|MCO n 22|06-11-1999|FD LO 107211|128435|139246
86|M|(N)Arctic Coon's Full Moon|MCO n 22|...|NRR LO 126862|128435|139310
87|M|(N)Arctic Coon's Gallatazzarai|MCO n 22|01-02-2000|NRR LO 127173|76|81
88|F|(N)Arctic Coon's Grace Jones|MCO ns|...|(N)NRR LO 143413|146450|104
89|F|(N)Arctic Coon's Hotlips|MCO f|...|NRR LO 138610|164231|103
90|F|(N)Arctic Coon's Ibiza Sunrise|MCO d 22|05-05-2000|(N)NRR LO 128095|149104|169557
91|M|(N)Arctic Coon's Inferno|MCO d 22|01-10-2007|(IS)KKI LO 03502|133012|104
92|M|(N)Arctic Coon's Iq Red Rock|MCO d 22|05-05-2000|NRR LO 128098|149104|169557
93|F|(N)Arctic Coon's Jamaica|MCO n|...|(N)NRR RX 128437||
94|F|(N)Arctic Coon's Koz & Kaos|MCO f 22|...|NRR LO 129077|76|139246
95|F|(N)Arctic Coon's Lucy Liu|MCO f 22|28-09-2000|NRR LO 129075|76|81
96|M|(N)Arctic Coon's Ozzy|MCO d 22|15-01-2004|(N)NRR LO 138599|164233|90
97|M|(N)Arctic Coon's Paparazzi|MCO n|...|(N)NRR LO 131553||
98|F|(N)Arctic Coon's Patzy|MCO g|...|NRR LO 131557|86|169557
99|M|(N)Arctic Coon's Pavarotti|MCO n 22|20-09-2001|CFA 1744-1458239|86|169557
100|F|(N)Arctic Coon's Pricilla Prytzly|MCO f 22|...|DVDK 27361|86|169557
101|M|(N)Arctic Coon's Quatro|MCO d|25-09-2001|(N)NRR LO 131572|86|15580
102|M|(N)Arctic Coon's Red Hot Chili Pepper|MCO d 22|...|(N)NRR LO 135016|147055|98
103|F|(N)Arctic Coon's Rolls Joyce|MCO f 22|...|(N)NRR LO 131571|86|90
104|F|(N)Arctic Coon's Sharon Stone|MCO f 22|04-09-2003|(N)NRR LO 137295|101|77
105|F|(N)Arctic Coon's Stella Polaris|MCO a 22|...|(N)NRR LO 132396|86|82
106|M|(N)Arctic Coon's Wild Majesty|MCO d 22|...|(N)NRR LO 135005|147054|94
107|F|(N)Arctic Coon's X-elent Kalua|MCO n 22|07-11-2002|SVERAK LO 188950|147054|169557
108|M|(N)Arctic Coon's Zorbaz|MCO n|...|(N)NRR LO 134809|97|93
109|F|(N)Aristel's Concordia|BRI n 22|31-10-1996|SVERAK LO 144157|12670|959
110|F|(N)Aristel's Cyntia|BRI n 24|31-10-1996|FD LO 88754|12670|959
111|F|(N)Artic Coon's Tortilla|MCO f|15-12-2003|(N)NRR LO 137843|147054|15580
112|M|(N)Aryam Felix|ABY n|...|NRR LO 5604|1774|16911
113|M|(N)Astasiam Baffin Bellmann|SIA a|...|NRR LO 105604|159582|143062
114|F|(N)Astasiam Chula Chamante|SIA n|29-11-1992|FD LO 84831|177004|143062
115|F|(N)Astasiam Cindy Celerina|SIA n|29-11-1992|NRR LO 107903|177004|143062
116|M|(N)Astasiam Iceblue Isak|SIA a|04-10-2002|NRR LO 134768|118702|150862
117|M|(N)Asynjen's Frodo|NFO d 09 22|23-04-1991|FD LO 63222|1075|1072
118|F|(N)Asynjen's Frøya|NFO f 09 23|23-04-1991|FD LO 64607|1075|1072
119|F|(N)Asynjen's Tussi|NFO f 09 22|11-10-1996|NRR LO 117193|20444|1072
120|M|(N)Attack's Devil-sTail|BAL d|17-11-2004|FD LO 132101|118572|16978
121|F|(N)Attack's Long Kiss|BAL g|17-11-2004|NRR LO 140057|118572|16978
122|M|(N)Attack's Miu Miu|BAL d 21|19-04-2006|SVERAK LO 223654|170180|121
123|M|(N)Ayram Benedict|ABY o|...|NRR LO 4754||
124|F|(N)Ayram Frezia|ABY o|...|NRR LO 5608|1774|16911
125|F|(N)Ayram Harmonia|SOM o|...|NRR LO 62413||
126|F|(N)Ayram Minerva|ABY n|...|NRR LO 117452||
127|M|(N)Azzi's Frodo|RAG a 04|09-08-2003|SVERAK LO 197836|172652|1010
128|F|(N)Azzi's Jasmin|RAG n|06-06-2004|SVERAK LO 203946|172654|172647
129|M|(N)Bajasso's Chevalier de Danceney|NFO n 09 23|...|NRR RX 54581|1398|175318
130|F|(N)Bajasso's Juliane|NFO a 23|...|NRR RX 54583|1398|175318
131|F|(N)Bajasso's Silvia|NFO ns|...|SVERAK RX 55586|159621|175318
132|F|(N)Bakketuns Meta|NFO f 23|...|NRR RX 54996||
133|M|(N)Bantai's Aquarius|SBI a|...|NRR LO 122120|142510|142502
134|F|(N)Bargello Gogo Girl|MCO gs 03|...|NRR LO 139066|154355|167414
135|F|(N)BatStar Oh Yeah|OSH g 24|16-07-2007|(SE)SVERAK LO 237686|124085|175026
136|M|(N)Beatles Day Tripper|CRX n|...|SVERAK LO 51881|194147|2860
137|F|(N)Beier's Aurora|NFO n 09 23|...|NRR RX 52490|131892|9056
138|M|(N)Beier's Bianco|NFO w|...|NRR LO 61312||
139|M|(N)Beier's Brage|NFO n 23|...|NRR LO 63452|144|141713
140|F|(N)Beier's Daisy|NFO n 09 22|...|NRR RX 52630|131892|9063
141|F|(N)Beier's Danielle|NFO n 09 23|...|NRR LO 60760|124131|137
142|F|(N)Beier's Darling|NFO n 09 23|...|NRR RX 55359|1370|136923
143|F|(N)Beier's Kristara|NFO w|...|NRR LO 61315|1366|137
144|M|(N)Beier's Mikke|NFO n 09 23|...|NRR LO 62490|241|137
145|M|(N)Beier's Romeo|NFO w|...|NRR LO 61093|1366|140
146|F|(N)Benill's Amor|SIA a|...|NRR LO 100044||
147|F|(N)Bernhof Nastya|RUS|...|NRR LO 140676|14158|350
148|F|(N)Bevre's Dessi|PER n 02 62|29-02-1996|FD RX 12655|1305|1306
149|F|(N)Bevre's Penny Paintbox|PER f 03|...|NRR RX 108263|56|130572
150|M|(N)Bevre's Prince Michael|PER e 02 62|19-06-1996|FD RX 12654|477|149
151|M|(N)Big Kitty Antonio|MCO d 22|16-05-2005|FD LO 135799|172319|1116
152|F|(N)Big Kitty Cherie|MCO a 22|17-09-2009|(DK)FD LO 178404|147077|154
153|M|(N)Big Kitty Hansa Light|MCO n 22|03-05-2006|FD LO 141849|142219|170783
154|F|(N)Big Kitty Magica|MCO n 22|...|(NO)NRR LO 149420|142219|142135
155|M|(N)Bigstone's Amadeus|BRI ns 24 62|13-08-2003|SVERAK LO 195272|4438|376
156|M|(N)Bimico's Astro|RAG a 04|14-05-2009|FD LO 177784|328|330
157|F|(N)Bjølar's Bella Tiffany|NFO f 09|...|NRR RX 55461|938|1022
158|F|(N)Bjølar's Betzy|NFO d|...|NRR RX 55462||
159|F|(N)Bjølar's Esmeralda|NFO f|...|NRR LO 62732|155195|158
160|M|(N)Bjørn's Bamse|BUR a|...|NRR LO 117365||
161|M|(N)Bjørn's Cornelis|BUR e|15-08-1999|NRR LO 125821|134316|125854
162|F|(N)Bjørn's Esmeralda|BUR d|05-08-2000|NRR LO 128790|121579|125854
163|M|(N)Bjørn's Garfield|BUR e|...|NRR LO 132074|170158|162
164|F|(N)Bjørn's Hei Heidi Hei|BUR j|...|NRR LO 132520|161|744
165|F|(N)Bjørn's Joan Baez|BUR g|17-08-2003|SVERAK LO 193991|163|164
166|M|(N)Blackwater's Bailey|ABY p|...|NRR LO 6751|155224|1061
167|F|(N)Blackwater's Schila|ABY a|20-03-1995|FD LO 105690|166|130491
168|M|(N)Blomsterdalen's Amigo|NFO n 09|24-01-2004|NRR LO 138197|174535|126194
169|F|(N)Blomsterdalen's Belinda|NFO w|03-11-2004|NRR LO 140195|168|170692
170|M|(N)Blomsterdalen's Cæsar|NFO ns 09 24|10-11-2004|(N)NRR LO 140407|23040|190822
171|F|(N)Blomsterdalen's Diana|NFO w|...|(N)NRR LO 143420|170|170692
172|M|(N)Blåbærskogens Fabian|NFO n 09|...|SVERAK RX 56799|159617|167124
173|M|(N)Blåbærskogens Faxe|NFO n|...|NRR RX 52194|159617|167124
174|F|(N)Bobo's Amalia Sachs|DRX b|20-07-2009|FD LO 157821|134795|101037
175|F|(N)Bobo's Annika Bengtzon|CRX a 09 33|15-08-2007|FD LO 152572|32463|183534
176|M|(N)Bobo's Dragan Armanskij|CRX a 23|08-01-2008|FD LO 154125|32463|183535
177|M|(N)Bobo's Harry Hole|CRX n 09 33|15-08-2007|FD LO 152573|32463|183534
178|M|(N)Bobo's Kurt Wallander|CRX n 33|15-08-2007|FD LO 152571|32463|183534
179|M|(N)Bobo's Lincoln Rhyme|DRX b|20-07-2009|FD LO 157820|134795|101037
180|F|(N)Bobo's Lisbeth Salander|CRX a 23|08-01-2008|FD LO 154122|32463|183535
181|M|(N)Bobo's Michael Blomkvist|CRX a 23|08-01-2008|FD LO 154124|32463|183535
182|M|(N)Bobo's Millenium|CRX a 23|08-01-2008|FD LO 154123|32463|183535
183|M|(N)Bobo's Varg Veum|NFO e 02 21|15-08-2007|FD LO 152570|32463|183534
184|F|(N)Bombalurina's Bohamian Rapsody|PER g 03|14-02-1992|FD LO 73927|159762|137227
185|F|(N)Bombalurina's Head in the Clouds|PER a|30-08-1996|FD LO 89243|149618|190099
186|F|(N)Bombalurina's Jitterbug|PER n 03|...|NRR LO 108543|159762|183439
187|M|(N)Bombalurina's Man In The Moon|PER a 02 62|05-08-1997|SVERAK LO 148954|149618|190062
188|F|(N)Bombalurina's Postmarque|PER n 03|08-08-1990|FD LO 65335|125789|183105
189|M|(N)Bombalurina's Waikiki|PER n|...|NRR LO 113437|149618|186
190|F|(N)Brekkeby's Carmenzita|NFO n|13-04-2002|FD LO 117138|173178|159908
191|M|(N)Brekkeby's Zako|NFO n 24|...|NRR LO 132726|173178|159908
192|F|(N)Brica's Persian Turtle|PER f 03|...|NRR LO 108493||
193|F|(N)Brica's Victoria|PER f 03|...|NRR LO 110098|159762|192
194|F|(N)Brusvehagen Angel of Mine|PER n 22|...|NRR LO 128998|1104|868
195|F|(N)Brusvehagen Bubbles of Pleasure|EXO g|21-03-2003|FD LO 122896|208|196
196|F|(N)Brusvehagen Cabotine|EXO e|...|NRR LO 131220|871|207
197|M|(N)Brusvehagen Captain of My Heart|PER ns 23 62|23-02-1998|SVERAK LO 162770|1101|866
198|M|(N)Brusvehagen Casino Royale|PER n 03 22|30-10-2006|SVERAK LO 231030|202|205
199|F|(N)Brusvehagen Chanel|EXO e|...|(N)NRR LO 131219||
